ONTOLOGY_NAME,FORGETTING_METHOD,FORGETTING_STRATEGY,FORMULA_ID,JUSTIFICATION_ID,FORMULA_SIZE,JUSTIFICATION_SIZE,STRATEGY_STEP_COUNT,EXPLANATION_LENGTH,JUSTIFICATION_INCREASE_AMOUNT,SUCCESSFUL_EXPLANATION
pizza,AlchTBoxForgetter,4,0,1,2,4,2,2,0,1
pizza,AlchTBoxForgetter,4,0,0,2,5,1,1,0,1
pizza,AlchTBoxForgetter,4,1,7,2,8,2,2,0,0
pizza,AlchTBoxForgetter,4,1,6,2,8,2,2,0,0
pizza,AlchTBoxForgetter,4,1,4,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,5,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,1,2,4,2,2,0,0
pizza,AlchTBoxForgetter,4,1,0,2,4,1,1,0,1
pizza,AlchTBoxForgetter,4,1,2,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,3,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,17,2,4,2,2,0,1
pizza,AlchTBoxForgetter,4,1,16,2,4,2,2,0,1
pizza,AlchTBoxForgetter,4,1,14,2,4,2,2,0,0
pizza,AlchTBoxForgetter,4,1,15,2,4,2,2,0,1
pizza,AlchTBoxForgetter,4,1,8,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,11,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,10,2,6,2,2,0,0
pizza,AlchTBoxForgetter,4,1,9,2,8,2,2,0,0
pizza,AlchTBoxForgetter,4,1,12,2,8,2,2,0,0
pizza,AlchTBoxForgetter,4,1,13,2,4,2,2,0,0
pizza,AlchTBoxForgetter,4,2,10,2,5,2,2,0,0
pizza,AlchTBoxForgetter,4,2,6,2,7,2,2,0,0
pizza,AlchTBoxForgetter,4,2,7,2,7,2,2,0,0
pizza,AlchTBoxForgetter,4,2,11,2,5,2,2,0,0
pizza,AlchTBoxForgetter,4,2,13,2,3,2,2,0,0
pizza,AlchTBoxForgetter,4,2,5,2,5,2,2,0,0
pizza,AlchTBoxForgetter,4,2,4,2,5,2,2,0,0
pizza,AlchTBoxForgetter,4,2,12,2,7,2,2,0,0
pizza,AlchTBoxForgetter,4,2,16,2,3,2,2,0,1
pizza,AlchTBoxForgetter,4,2,0,2,3,1,1,0,1
pizza,AlchTBoxForgetter,4,2,1,2,3,2,2,0,0
pizza,AlchTBoxForgetter,4,2,17,2,3,2,2,0,1
pizza,AlchTBoxForgetter,4,2,15,2,3,2,2,0,1
pizza,AlchTBoxForgetter,4,2,3,2,5,2,2,0,0
