ONTOLOGY_NAME,FORGETTING_METHOD,FORGETTING_STRATEGY,FORMULA_ID,JUSTIFICATION_ID,FORMULA_SIZE,JUSTIFICATION_SIZE,STRATEGY_STEP_COUNT,EXPLANATION_LENGTH,JUSTIFICATION_INCREASE_AMOUNT,SUCCESSFUL_EXPLANATION
pizza,AlchTBoxForgetter,3,0,1,2,4,4,4,0,0
pizza,AlchTBoxForgetter,3,0,0,2,5,5,4,1,1
pizza,AlchTBoxForgetter,3,1,7,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,1,6,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,1,4,2,6,6,5,0,1
pizza,AlchTBoxForgetter,3,1,5,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,1,1,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,1,0,2,4,3,3,0,1
pizza,AlchTBoxForgetter,3,1,2,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,1,3,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,1,17,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,1,16,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,1,14,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,1,15,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,1,8,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,1,11,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,1,10,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,1,9,2,8,8,8,0,0
pizza,AlchTBoxForgetter,3,1,12,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,1,13,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,2,10,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,2,6,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,2,7,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,2,11,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,2,13,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,5,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,2,4,2,5,5,4,0,1
pizza,AlchTBoxForgetter,3,2,12,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,2,16,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,0,2,3,2,2,0,1
pizza,AlchTBoxForgetter,3,2,1,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,17,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,15,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,3,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,2,2,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,2,14,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,2,9,2,7,7,7,0,0
pizza,AlchTBoxForgetter,3,2,8,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,3,3,2,9,14,14,23,0
pizza,AlchTBoxForgetter,3,3,2,2,13,18,18,24,0
pizza,AlchTBoxForgetter,3,3,0,2,10,15,15,23,0
pizza,AlchTBoxForgetter,3,3,1,2,14,19,19,24,0
pizza,AlchTBoxForgetter,3,4,0,2,5,5,5,1,1
pizza,AlchTBoxForgetter,3,4,1,2,4,4,4,0,0
pizza,AlchTBoxForgetter,3,5,0,2,1,0,0,0,1
pizza,AlchTBoxForgetter,3,6,1,2,5,6,6,0,0
pizza,AlchTBoxForgetter,3,6,0,2,6,7,5,3,1
pizza,AlchTBoxForgetter,3,7,1,2,2,2,1,0,1
pizza,AlchTBoxForgetter,3,7,0,2,2,1,1,0,1
pizza,AlchTBoxForgetter,3,7,2,2,2,2,1,0,1
pizza,AlchTBoxForgetter,3,7,3,2,2,2,1,0,1
pizza,AlchTBoxForgetter,3,8,1,2,4,4,4,0,0
pizza,AlchTBoxForgetter,3,8,0,2,5,5,4,1,1
pizza,AlchTBoxForgetter,3,9,8,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,9,9,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,9,19,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,9,25,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,24,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,18,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,9,26,2,6,6,5,0,1
pizza,AlchTBoxForgetter,3,9,27,2,8,8,8,0,0
pizza,AlchTBoxForgetter,3,9,23,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,22,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,20,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,9,21,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,9,10,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,9,11,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,9,13,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,9,12,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,9,16,2,8,9,9,0,0
pizza,AlchTBoxForgetter,3,9,17,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,9,15,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,9,14,2,6,7,5,0,1
pizza,AlchTBoxForgetter,3,9,7,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,6,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,4,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,5,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,1,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,9,0,2,4,3,3,0,1
pizza,AlchTBoxForgetter,3,9,2,2,6,6,6,0,0
pizza,AlchTBoxForgetter,3,9,3,2,4,4,3,0,1
pizza,AlchTBoxForgetter,3,10,5,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,20,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,10,21,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,10,4,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,6,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,23,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,22,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,7,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,3,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,26,2,5,5,4,0,1
pizza,AlchTBoxForgetter,3,10,27,2,7,7,7,0,0
pizza,AlchTBoxForgetter,3,10,2,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,10,0,2,3,2,2,0,1
pizza,AlchTBoxForgetter,3,10,19,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,10,25,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,24,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,18,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,10,1,2,3,3,2,0,1
pizza,AlchTBoxForgetter,3,10,15,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,10,14,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,10,16,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,10,17,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,10,13,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,10,12,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,10,9,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,10,10,2,5,6,4,0,1
pizza,AlchTBoxForgetter,3,10,11,2,7,8,8,0,0
pizza,AlchTBoxForgetter,3,10,8,2,5,5,5,0,0
pizza,AlchTBoxForgetter,3,11,17,2,14,30,30,101,0
pizza,AlchTBoxForgetter,3,11,6,2,15,22,22,29,0
pizza,AlchTBoxForgetter,3,11,7,2,10,21,21,78,0
pizza,AlchTBoxForgetter,3,11,16,2,13,18,18,24,0
pizza,AlchTBoxForgetter,3,11,28,2,16,21,21,29,0
pizza,AlchTBoxForgetter,3,11,14,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,5,2,12,13,13,2,0
pizza,AlchTBoxForgetter,3,11,4,2,15,22,22,29,0
pizza,AlchTBoxForgetter,3,11,15,2,14,19,19,29,0
pizza,AlchTBoxForgetter,3,11,29,2,16,32,32,101,0
pizza,AlchTBoxForgetter,3,11,11,2,12,27,27,100,0
pizza,AlchTBoxForgetter,3,11,39,2,16,23,23,29,0
pizza,AlchTBoxForgetter,3,11,0,2,10,15,15,23,0
pizza,AlchTBoxForgetter,3,11,1,2,11,22,22,78,0
pizza,AlchTBoxForgetter,3,11,38,2,15,22,22,29,0
pizza,AlchTBoxForgetter,3,11,10,2,13,25,25,79,0
pizza,AlchTBoxForgetter,3,11,12,2,13,18,18,24,0
pizza,AlchTBoxForgetter,3,11,3,2,12,18,18,28,0
pizza,AlchTBoxForgetter,3,11,2,2,11,26,26,100,0
pizza,AlchTBoxForgetter,3,11,13,2,15,20,20,29,0
pizza,AlchTBoxForgetter,3,11,48,2,11,16,16,23,0
pizza,AlchTBoxForgetter,3,11,60,2,11,11,11,0,0
pizza,AlchTBoxForgetter,3,11,61,2,10,10,10,0,0
pizza,AlchTBoxForgetter,3,11,49,2,12,27,27,100,0
pizza,AlchTBoxForgetter,3,11,63,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,62,2,12,27,27,100,0
pizza,AlchTBoxForgetter,3,11,66,2,16,32,32,101,0
pizza,AlchTBoxForgetter,3,11,67,2,16,32,32,101,0
pizza,AlchTBoxForgetter,3,11,71,2,14,19,19,24,0
pizza,AlchTBoxForgetter,3,11,65,2,15,20,20,29,0
pizza,AlchTBoxForgetter,3,11,59,2,13,28,28,100,0
pizza,AlchTBoxForgetter,3,11,58,2,15,20,20,29,0
pizza,AlchTBoxForgetter,3,11,64,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,70,2,13,18,18,24,0
pizza,AlchTBoxForgetter,3,11,69,2,9,14,14,23,0
pizza,AlchTBoxForgetter,3,11,55,2,14,19,19,29,0
pizza,AlchTBoxForgetter,3,11,41,2,11,16,16,23,0
pizza,AlchTBoxForgetter,3,11,40,2,16,23,23,29,0
pizza,AlchTBoxForgetter,3,11,54,2,14,30,30,101,0
pizza,AlchTBoxForgetter,3,11,68,2,16,21,21,29,0
pizza,AlchTBoxForgetter,3,11,42,2,11,11,11,0,0
pizza,AlchTBoxForgetter,3,11,56,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,57,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,43,2,10,10,10,0,0
pizza,AlchTBoxForgetter,3,11,47,2,10,10,10,0,0
pizza,AlchTBoxForgetter,3,11,53,2,14,30,30,101,0
pizza,AlchTBoxForgetter,3,11,52,2,11,26,26,100,0
pizza,AlchTBoxForgetter,3,11,46,2,11,11,11,0,0
pizza,AlchTBoxForgetter,3,11,50,2,11,11,11,0,0
pizza,AlchTBoxForgetter,3,11,44,2,10,15,15,23,0
pizza,AlchTBoxForgetter,3,11,45,2,12,17,17,23,0
pizza,AlchTBoxForgetter,3,11,51,2,10,10,10,0,0
pizza,AlchTBoxForgetter,3,11,36,2,12,18,18,28,0
pizza,AlchTBoxForgetter,3,11,22,2,12,27,27,100,0
pizza,AlchTBoxForgetter,3,11,23,2,15,31,31,101,0
pizza,AlchTBoxForgetter,3,11,37,2,15,22,22,29,0
pizza,AlchTBoxForgetter,3,11,21,2,16,23,23,29,0
pizza,AlchTBoxForgetter,3,11,35,2,12,13,13,2,0
pizza,AlchTBoxForgetter,3,11,34,2,13,14,14,2,0
pizza,AlchTBoxForgetter,3,11,20,2,16,23,23,29,0
pizza,AlchTBoxForgetter,3,11,24,2,14,19,19,24,0
pizza,AlchTBoxForgetter,3,11,30,2,14,26,26,79,0
pizza,AlchTBoxForgetter,3,11,18,2,13,19,19,28,0
pizza,AlchTBoxForgetter,3,11,9,2,12,13,13,2,0
pizza,AlchTBoxForgetter,3,11,8,2,13,25,25,79,0
pizza,AlchTBoxForgetter,3,11,19,2,13,14,14,2,0
pizza,AlchTBoxForgetter,3,11,31,2,13,14,14,2,0
pizza,AlchTBoxForgetter,3,11,25,2,15,20,20,29,0
pizza,AlchTBoxForgetter,3,11,33,2,13,19,19,28,0
pizza,AlchTBoxForgetter,3,11,27,2,13,28,28,100,0
pizza,AlchTBoxForgetter,3,11,26,2,14,19,19,24,0
pizza,AlchTBoxForgetter,3,11,32,2,14,26,26,79,0
pizza,AlchTBoxForgetter,3,12,1,2,4,4,4,0,0
pizza,AlchTBoxForgetter,3,12,0,2,5,5,5,1,1
pizza,AlchTBoxForgetter,3,13,0,2,1,0,0,0,1
pizza,AlchTBoxForgetter,3,14,1,2,5,6,6,0,0
pizza,AlchTBoxForgetter,3,14,0,2,6,7,5,3,1
pizza,AlchTBoxForgetter,3,15,2,2,2,2,1,0,1
pizza,AlchTBoxForgetter,3,15,3,2,2,2,1,0,1
pizza,AlchTBoxForgetter,3,15,1,2,2,2,1,0,1
